twc,01H,01V
0.0,207.08751868448442,242.5928593199018
0.02,207.2026962359379,242.64305744844643
0.04,207.30932822577827,242.68726110959466
0.06,207.41513865961807,242.73180226043456
0.08,207.52013654492674,242.77666572380636
0.1,207.62433128636837,242.82183804440933
0.12,207.70685448599528,242.8532372322931
0.14,207.81043283671775,242.9003809902739
0.16,207.91215067458361,242.94701176051677
0.18,208.0126037608228,242.99352024240105
0.2,208.11207650387698,243.0401138716969
0.22,208.21068856807054,243.08687146179463
0.24,208.3085011082019,243.1338256872024
0.26,208.40555063663177,243.18099003753613
0.28,208.50186178352854,243.22836903166197
0.3,208.59745281566163,243.27596262468967
0.32,208.69233828830087,243.3237683069345
0.34,208.78653042917378,243.3717821824103
0.36,208.88003991083755,243.4199995569494
0.38,208.97287630675152,243.46841527449274
0.4,209.0650483741163,243.51702391691865
0.56,209.77939462975945,243.91216783650836
0.72,210.45498798413587,244.31650627600442
0.88,211.09432820770948,244.7275076879578
1.04,211.69942781435807,245.142960419047
1.2000000000000002,212.24183620413203,245.56293773950557
1.3599999999999999,212.77883344761045,245.98430236466137
1.52,213.2880891127967,246.40558494363393
1.6800000000000002,213.7349638504685,246.83106366035125
1.8399999999999999,214.18692700223514,247.25173120095744
2.0,214.61502686149876,247.66907537051802
2.8,216.36985785085878,249.70604269059675
3.6,217.61637806292623,251.59580982950192
4.4,218.45133030700137,253.30044438524172
5.2,218.96204123600955,254.8302210566463
6.0,219.15385551650175,256.19314770371125
6.800000000000001,219.14747227041173,257.40257427336644
7.6000000000000005,218.92829477249418,258.47545171431796
8.4,218.57265867060426,259.4243638915584
9.2,218.08642512263958,260.26390207162103
10.0,217.48489229772707,261.0066719421507
13.333333333333334,214.23287623454402,263.2577761006402
16.666666666666668,210.2997334289285,264.51924963192096
20.0,205.86670311876347,265.1546713209488
23.333333333333336,201.23135343441947,265.0234158712481
26.666666666666668,197.4327322696071,265.00509436798376
30.0,192.91339895180883,264.4200330761398
33.333333333333336,188.63481713052818,263.43340550072685
36.66666666666667,185.4586498034131,263.127663364545
40.0,181.45872020290784,262.0722284829291
